family,freq_Hz,bandwidth_Hz,param_a,param_b,eps_eff,substrate_h,eps_r,feed_width_m,extra
patch_rect,2872700594.2368126,239198643.82950622,0.057437143933315636,0.02408047923934762,4.1717216677634426,0.0016,4.4,0.003061978796339918,0
patch_rect,3984250789.7324347,675385029.194864,0.03118330314838674,0.01726360772640748,4.037416452438688,0.0016,4.4,0.0008499122053630101,2
patch_rect,5330880728.874676,683610287.4390471,0.03925798061064686,0.012429724584203284,4.093127916536118,0.0016,4.4,0.002978254022286159,1
patch_rect,1282057895.1355014,141714619.619009,0.04554393615787489,0.05611982552403851,4.125819837634532,0.0016,4.4,0.003784934481555126,1
patch_rect,1909124836.0355031,548044408.0003403,0.017537034512378556,0.038463427683539046,3.874559309945476,0.0016,4.4,0.001564847850358382,1
patch_rect,1035331526.098587,594913850.6188862,0.00919924610215362,0.07424401676867264,3.6675460281871026,0.0016,4.4,0.002336711310904362,2
patch_rect,1697469303.260209,368476896.88469404,0.023191521723831342,0.04295649481776244,3.9574016938662666,0.0016,4.4,0.001782266451527921,1
patch_rect,1453032172.664104,200379950.99231917,0.040156072485320535,0.04951487538945093,4.098272955445141,0.0016,4.4,0.0018386169694350697,3
patch_rect,3962072844.310212,1819310360.7432299,0.010415421461439882,0.018240964596622566,3.708157503491556,0.0016,4.4,0.002626406981655034,0
patch_rect,3252496259.847715,1884281157.2108116,0.008689777980313059,0.022739769055409774,3.6489224755081713,0.0016,4.4,0.0037977061448969847,1
patch_rect,5041986740.582306,1171189697.9225268,0.023839915997015276,0.013475129085934392,3.965218618625368,0.0016,4.4,0.0008418523990223435,3
patch_rect,2205127330.1300583,280529303.3420111,0.04352970297892383,0.03204819214651337,4.116136634005059,0.0016,4.4,0.0026349883022391734,3
patch_rect,1171942605.576092,117390231.24270785,0.05528466090809667,0.06123503667012148,4.1645959335073455,0.0016,4.4,0.0014057299356000593,3
patch_rect,4776807051.588263,878586519.9076716,0.030108105473544724,0.014173242826869287,4.028407985474969,0.0016,4.4,0.001227795820038661,3
patch_rect,1924272277.6276352,165826693.1370423,0.05841840064375704,0.03666637248807769,4.174828114611855,0.0016,4.4,0.003212964881763901,1
patch_rect,2975751180.0090723,279958308.6419743,0.056186261021277294,0.023207549899238566,4.167634410110278,0.0016,4.4,0.0030454519854974734,2
patch_rect,1442462510.2595975,439112325.23421,0.01819110884579555,0.0512990486623727,3.8857532819058678,0.0016,4.4,0.0006582955111868832,3
patch_rect,5222669243.390757,617183801.0057251,0.0468606457271438,0.012648139927762665,4.131797660653971,0.0016,4.4,0.0023889224633617794,3
patch_rect,2783766633.467946,588871377.4878745,0.0226085945037438,0.025648302510024566,3.950123501554472,0.0016,4.4,0.00239943629105387,0
patch_rect,2481367528.520412,715161807.0219812,0.01659388083127613,0.029328791706576325,3.8574933667645857,0.0016,4.4,0.0005547274235941788,0
patch_rect,4861223846.483287,1401631524.124759,0.018333215439776965,0.014194063949273871,3.888120136772476,0.0016,4.4,0.0005193274099326085,2
patch_rect,1994212020.4440258,234306493.3372232,0.0449897815429298,0.035561839445119356,4.123222872798446,0.0016,4.4,0.00326561439185922,2
patch_rect,1370223258.6704519,271881991.0134813,0.026640217884302174,0.05329454131957362,3.995968575750546,0.0016,4.4,0.000905541708337954,2
patch_rect,5250192888.948997,884642404.279224,0.031371435055186574,0.012742913560303269,4.038947273678634,0.0016,4.4,0.0008339354077164397,2
patch_rect,2554911608.578311,567989835.2107497,0.024909532745390844,0.027971547723375345,3.9775134561053305,0.0016,4.4,0.0030536216241832245,3
patch_rect,2373608964.9503207,337421117.5330726,0.03718465814408046,0.029806885636277015,4.080544283906568,0.0016,4.4,0.0018402440616382644,2
