timestamp,family,target_Fr_GHz,target_BW_MHz,param_0,param_1,param_2,param_3,param_4,substrate_h,eps_r,actual_Fr_GHz,actual_BW_MHz,S11_dB
1766303321.6368074,patch_rect,2.4,100.0,0.06,0.03373865270822136,0.0024237153044520308,0.00128668477381642,4.0,0.00128668477381642,4.0,2.3580000400543213,1.2060000896453857,-32.9258024219318
1766303859.3674624,patch_rect,2.9939,184.554,0.06,0.025629660496346754,0.0023684720612553284,0.0013338190569786778,4.0,0.0013338190569786778,4.0,3.2318999767303467,0.4240000247955322,-16.302372545400882
1766303903.9294724,patch_rect,2.8688,349.957,0.04195566681812132,0.023157498451326284,0.002317932014572908,0.0005,4.0,0.0005,4.0,3.868799924850464,0.0,-1.2927676926228
1766303954.7730043,patch_rect,9.7584,795.381,0.06,0.008,0.0021447974549495307,0.0005,4.0,0.0005,4.0,8.840399742126465,0.2840003967285156,-20.342251202599453
1766304003.8507946,patch_rect,2.3675,603.313,0.02037296435376978,0.030724473394998904,0.00228766974523307,0.005,4.0,0.005,4.0,2.185499906539917,0.0,-5.638506659939121
1766304050.9393506,patch_rect,8.074,728.142,0.05815486760302699,0.008,0.0020835907854388335,0.0005,4.0,0.0005,4.0,7.073999881744385,0.0,-2.6591698205974064
1766304099.590174,patch_rect,7.1418,784.459,0.050462714430573256,0.008198306957780888,0.002281627621278156,0.0005,4.0,0.0005,4.0,8.141799926757812,0.0,-4.723866610437362
1766304147.0641608,patch_rect,3.3737,788.355,0.02210571648148657,0.021346667811400787,0.002274286480742968,0.004989437735241387,4.0,0.004989437735241387,4.0,4.031700134277344,0.0,-8.469175459854343
1766304198.4983063,patch_rect,1.6537,283.705,0.030046234155524574,0.042317654874571745,0.0022276808410811653,0.0005,4.0,0.0005,4.0,1.7077000141143799,0.023999929428100586,-11.302993519448707
1766304247.984444,patch_rect,4.2871,175.966,0.06,0.020293080225750635,0.0024266098359202975,0.005,4.0,0.005,4.0,3.905100107192993,0.15599989891052246,-13.555419010609917
1766304297.474301,patch_rect,2.7213,329.911,0.04135009394010068,0.026635491131198556,0.0023310685635134416,0.0005,4.0,0.0005,4.0,3.4472999572753906,0.8540000915527344,-37.96221071128956
1766304342.9587903,patch_rect,5.0089,597.527,0.04176613397953848,0.013703032555111563,0.00222262968152832,0.0005,4.0,0.0005,4.0,4.714900016784668,0.0,-4.615906016145519
1766304388.4296596,patch_rect,9.161,468.377,0.06,0.008,0.002210280397861542,0.0005,4.0,0.0005,4.0,9.994999885559082,0.0,-4.562280868424659
1766304437.620063,patch_rect,9.8692,526.748,0.06,0.008,0.0021674563087165943,0.0005,4.0,0.0005,4.0,8.869199752807617,0.15999984741210938,-18.699198003686167
1766304484.9954815,patch_rect,3.1346,465.09,0.03314704446989253,0.022483362648719023,0.0022714515350754074,0.004522854265916819,4.0,0.004522854265916819,4.0,2.788599967956543,1.1640000343322754,-13.243428688092635
1766304530.6074355,patch_rect,2.8669,714.555,0.02058280245446187,0.024843871205431068,0.0022718793275893,0.0005,4.0,0.0005,4.0,3.8668999671936035,0.0,-5.178616283914059
1766304576.8593574,patch_rect,1.5849,740.049,0.011225625822656814,0.04866232755955138,0.0020400688905849334,0.0033569580849186183,4.0,0.0033569580849186183,4.0,2.018899917602539,0.0,-1.5098368545344123
1766304626.4453986,patch_rect,8.2402,96.279,0.06,0.01377368005272369,0.0024387724709129125,0.0005,4.0,0.0005,4.0,9.038200378417969,1.8819999694824219,-19.83199155949074
1766304670.7646747,patch_rect,3.48,457.398,0.03916599876071831,0.01901020977167755,0.0023703518588925497,0.0005,4.0,0.0005,4.0,4.480000019073486,0.0,-0.49171296286866384
1766304720.854785,patch_rect,9.2737,390.768,0.06,0.008,0.002243025840541947,0.0005,4.0,0.0005,4.0,10.25570011138916,0.0,-4.323453369296289
1766304766.082407,patch_rect,5.2049,711.296,0.03775598707266861,0.012404367541930235,0.0023198504914632594,0.0005,4.0,0.0005,4.0,5.214900016784668,0.0,-4.4579243832471445
1766304810.4821365,patch_rect,1.2529,405.875,0.015469646995944499,0.058692252549155347,0.0021473072800618563,0.0005,4.0,0.0005,4.0,0.25290000438690186,0.03200000524520874,-25.27626004250902
1766304857.4157593,patch_rect,3.4772,486.582,0.03961657374861884,0.02085564269890607,0.002227164012862676,0.0035913110336246983,4.0,0.0035913110336246983,4.0,4.141200065612793,0.2820000648498535,-24.011294916334652
1766304904.5747826,patch_rect,1.4636,687.018,0.011109187988307507,0.04921651568439406,0.002170861061552036,0.0019313957103009633,4.0,0.0019313957103009633,4.0,2.089600086212158,0.0,-1.5459108795933931
