timestamp,family,target_Fr_GHz,target_BW_MHz,param_0,param_1,param_2,param_3,param_4,actual_Fr_GHz,actual_BW_MHz,S11_dB
1771872348.436016,patch_rect,5.5527,57.616,0.06,0.018000517040491104,0.0022698815446347,0.005,4.397305011749268,5.738699913024902,822.0000267028809,-48.26076920630609
1771872400.0177925,patch_rect,5.859,84.645,0.06,0.014940276741981506,0.002236482221633196,0.005,4.397661209106445,6.269000053405762,438.0002021789551,-14.416659705341267
1771872451.1028597,patch_rect,5.8047,101.322,0.06,0.014741959050297737,0.002233500126749277,0.005,4.398029327392578,6.468699932098389,506.0000419616699,-15.749293091052001
1771872502.323379,patch_rect,6.0309,103.962,0.06,0.013522950932383537,0.0022147863637655973,0.005,4.397879123687744,6.684899806976318,622.0002174377441,-19.177016615867576
1771872555.3112063,patch_rect,5.4997,83.034,0.06,0.017447659745812416,0.0022619864903390408,0.005,4.397760391235352,4.561699867248535,167.9997444152832,-16.479434086199937
1771872637.2629666,patch_rect,5.8313,89.916,0.06,0.014924457296729088,0.002236483385786414,0.005,4.397785663604736,6.437300205230713,506.0000419616699,-16.012861282180737
1771872688.6724532,patch_rect,6.5935,65.093,0.06,0.012345765717327595,0.0021945484913885593,0.005,4.39280891418457,6.7795000076293945,946.0000991821289,-28.242636670496264
1771872735.674458,patch_rect,2.1621,58.159,0.06,0.035557471215724945,0.0023267162032425404,0.001615414978004992,4.399984836578369,2.6861000061035156,79.99992370605469,-13.636837395128381
1771872791.005809,patch_rect,6.5409,56.456,0.06,0.012627717107534409,0.002199203008785844,0.005,4.393748760223389,6.588900089263916,486.00006103515625,-12.56175239941054
1771872839.2313828,patch_rect,2.1916,70.445,0.06,0.034581348299980164,0.0023187941405922174,0.001613965374417603,4.399983882904053,2.343600034713745,54.000139236450195,-34.1421765021186
1771872887.503003,patch_rect,3.5445,124.816,0.06,0.02488517574965954,0.0023068729788064957,0.0016436587320640683,4.399981498718262,2.6705000400543213,109.9998950958252,-17.427487377394968
1771872940.256408,patch_rect,5.0591,64.675,0.06,0.02102576196193695,0.0022939431946724653,0.005,4.397615909576416,6.059100151062012,492.0001029968262,-21.538479668360594
1771872992.2022989,patch_rect,6.819,64.609,0.06,0.011639731004834175,0.0021835844963788986,0.005,4.387948036193848,7.171000003814697,1269.9999809265137,-29.374785841350622
1771873039.2991338,patch_rect,3.2885,115.793,0.06,0.025801243260502815,0.0023062245454639196,0.001639351830817759,4.399981498718262,2.384500026702881,81.9997787475586,-29.33029543744143
1771873087.9656222,patch_rect,2.1888,105.524,0.06,0.03287714719772339,0.002298574661836028,0.0016055552987381816,4.39998197555542,3.172800064086914,62.00003623962402,-26.01554845000691
1771873134.9267528,patch_rect,3.2964,103.284,0.06,0.02651233598589897,0.0023124725557863712,0.001642774441279471,4.39998197555542,3.224400043487549,289.99996185302734,-28.94913275886049
1771873183.6387005,patch_rect,3.4168,119.862,0.06,0.025368960574269295,0.002306791953742504,0.0016416084254160523,4.399981498718262,3.2167999744415283,85.99996566772461,-20.758462200554646
1771873230.598467,patch_rect,4.9377,108.028,0.06,0.019464729353785515,0.0022855091374367476,0.004225500393658876,4.398464202880859,5.39769983291626,269.9999809265137,-17.13373068974024
1771873284.2436407,patch_rect,5.887,111.752,0.06,0.014034142717719078,0.0022212807089090347,0.005,4.398171901702881,4.88700008392334,107.99980163574219,-12.443443484088995
1771873332.5684884,patch_rect,2.5098,83.136,0.06,0.03144332394003868,0.002313018776476383,0.0016249542823061347,4.399983882904053,3.2578001022338867,101.99999809265137,-20.954443843731983
1771873379.4899879,patch_rect,5.3055,115.781,0.06,0.016949940472841263,0.002262560883536935,0.004225711338222027,4.3984527587890625,6.191500186920166,662.0001792907715,-50.96120024488725
1771873424.936178,patch_rect,3.7353,116.477,0.06,0.025089209899306297,0.002313291421160102,0.0019614144694060087,4.3997979164123535,3.557300090789795,119.99988555908203,-18.21523555799558
1771873474.54959,patch_rect,5.2558,119.988,0.06,0.017034269869327545,0.002264386508613825,0.004073363728821278,4.398542881011963,4.617800235748291,407.99999237060547,-20.10313515775135
1771873521.8951907,patch_rect,3.0529,78.361,0.06,0.02888358011841774,0.002321766223758459,0.0016422750195488334,4.3999834060668945,3.204900026321411,49.99995231628418,-10.688407817727722
1771873621.2256725,patch_rect,6.089,104.726,0.06,0.01330560352653265,0.0022114235907793045,0.005,4.397830009460449,5.089000225067139,85.99996566772461,-12.01555157518813
1771873669.6299613,patch_rect,2.7761,84.804,0.06,0.02963094972074032,0.0023158208932727575,0.0016330147627741098,4.399983882904053,3.178100109100342,72.00002670288086,-11.563506779376244
1771873718.0446672,patch_rect,4.567,89.037,0.06,0.021917887032032013,0.0023063160479068756,0.004357408732175827,4.398394584655762,5.566999912261963,18.000125885009766,-11.360147424825273
1771873767.0936499,patch_rect,5.193,71.961,0.06,0.02002835087478161,0.002283578971400857,0.005,4.397683620452881,5.40500020980835,346.00019454956055,-24.62551831246159
1771873815.766491,patch_rect,3.0557,114.405,0.06,0.02644345536828041,0.0023027239367365837,0.0016337113920599222,4.39998197555542,2.389699935913086,218.0001735687256,-26.73637884843926
1771873864.0455718,patch_rect,4.7178,114.859,0.06,0.019965948536992073,0.002292671939358115,0.003764822380617261,4.398738384246826,4.633800029754639,70.00017166137695,-11.435513642968548
1771873911.1414547,patch_rect,3.4314,119.666,0.06,0.025357265025377274,0.002307167509570718,0.0016420406755059958,4.399981498718262,3.3053998947143555,98.00004959106445,-25.013638211520085
